as_of_date,personnel_id,week_offset,week_label,representative_status,project_id,project_name,start_date,end_date
2026-05-07,97bd6c1d-9593-5764-96af-38e5333fe3a1,-1,전주,running,bb95b7f9-e00b-51ad-a5e7-311acbe16131,차세대 통합시스템 구축,2026-02-01,2026-12-31
2026-05-07,97bd6c1d-9593-5764-96af-38e5333fe3a1,0,금주,running,bb95b7f9-e00b-51ad-a5e7-311acbe16131,차세대 통합시스템 구축,2026-02-01,2026-12-31
2026-05-07,97bd6c1d-9593-5764-96af-38e5333fe3a1,1,차주,running,bb95b7f9-e00b-51ad-a5e7-311acbe16131,차세대 통합시스템 구축,2026-02-01,2026-12-31
2026-05-07,a2e54498-12ae-5f54-ae92-a611d768e1e2,-1,전주,running,9adc2667-d188-5951-a858-5b0d9856a24d,미래에셋자산운용 IDC이전사업,2026-02-01,2026-12-31
2026-05-07,a2e54498-12ae-5f54-ae92-a611d768e1e2,0,금주,running,9adc2667-d188-5951-a858-5b0d9856a24d,미래에셋자산운용 IDC이전사업,2026-02-01,2026-12-31
2026-05-07,a2e54498-12ae-5f54-ae92-a611d768e1e2,1,차주,running,9adc2667-d188-5951-a858-5b0d9856a24d,미래에셋자산운용 IDC이전사업,2026-02-01,2026-12-31
2026-05-07,10d6d975-073c-5219-aac5-8cdf7be6f800,-1,전주,running,a42b7918-4c9e-5180-a58c-5509de5011db,한전산업개발 빌링시스템 고도화 사업,2026-02-01,2026-12-31
2026-05-07,10d6d975-073c-5219-aac5-8cdf7be6f800,0,금주,running,a42b7918-4c9e-5180-a58c-5509de5011db,한전산업개발 빌링시스템 고도화 사업,2026-02-01,2026-12-31
2026-05-07,10d6d975-073c-5219-aac5-8cdf7be6f800,1,차주,running,a42b7918-4c9e-5180-a58c-5509de5011db,한전산업개발 빌링시스템 고도화 사업,2026-02-01,2026-12-31
2026-05-07,bc18b14d-d750-56fe-aa46-ce6306bb1adc,-1,전주,running,249712f3-1d9f-5fb7-a603-b011dfdd6391,감사원 2026년~2027년 감사원 정보인프라 유지관리 사업(2년),2026-02-01,2026-12-31
2026-05-07,bc18b14d-d750-56fe-aa46-ce6306bb1adc,0,금주,running,249712f3-1d9f-5fb7-a603-b011dfdd6391,감사원 2026년~2027년 감사원 정보인프라 유지관리 사업(2년),2026-02-01,2026-12-31
2026-05-07,bc18b14d-d750-56fe-aa46-ce6306bb1adc,1,차주,running,249712f3-1d9f-5fb7-a603-b011dfdd6391,감사원 2026년~2027년 감사원 정보인프라 유지관리 사업(2년),2026-02-01,2026-12-31
2026-05-07,c49143f6-6250-5f1f-9ba6-e2956527fdd2,-1,전주,running,284ec3d5-6b47-5625-a9d7-65c3da2fa071,한국해양진흥공사 ’26~’29년 정보시스템 통합 유지보수 용역(3년),2026-02-01,2026-12-31
2026-05-07,c49143f6-6250-5f1f-9ba6-e2956527fdd2,0,금주,running,284ec3d5-6b47-5625-a9d7-65c3da2fa071,한국해양진흥공사 ’26~’29년 정보시스템 통합 유지보수 용역(3년),2026-02-01,2026-12-31
2026-05-07,c49143f6-6250-5f1f-9ba6-e2956527fdd2,1,차주,running,284ec3d5-6b47-5625-a9d7-65c3da2fa071,한국해양진흥공사 ’26~’29년 정보시스템 통합 유지보수 용역(3년),2026-02-01,2026-12-31
2026-05-07,582542bc-bf13-50d0-8a03-68ff41fa128d,-1,전주,running,09f6931a-9b19-579f-a3d7-f62fc34f6395,신한은행 Endpoint 위협식별 및 탐지역량 강화를 위한 EDR시스템 구축,2026-02-01,2026-12-31
2026-05-07,582542bc-bf13-50d0-8a03-68ff41fa128d,0,금주,running,09f6931a-9b19-579f-a3d7-f62fc34f6395,신한은행 Endpoint 위협식별 및 탐지역량 강화를 위한 EDR시스템 구축,2026-02-01,2026-12-31
2026-05-07,582542bc-bf13-50d0-8a03-68ff41fa128d,1,차주,running,09f6931a-9b19-579f-a3d7-f62fc34f6395,신한은행 Endpoint 위협식별 및 탐지역량 강화를 위한 EDR시스템 구축,2026-02-01,2026-12-31
2026-05-07,eca63803-3a32-5e6a-94bc-d4d1eb8cec28,-1,전주,running,6572b507-b2d9-5e74-ab5a-e52837917cec,삼성카드 IT자산 위험 관리시스템 구축,2026-02-01,2026-12-31
2026-05-07,eca63803-3a32-5e6a-94bc-d4d1eb8cec28,0,금주,running,6572b507-b2d9-5e74-ab5a-e52837917cec,삼성카드 IT자산 위험 관리시스템 구축,2026-02-01,2026-12-31
2026-05-07,eca63803-3a32-5e6a-94bc-d4d1eb8cec28,1,차주,running,6572b507-b2d9-5e74-ab5a-e52837917cec,삼성카드 IT자산 위험 관리시스템 구축,2026-02-01,2026-12-31
2026-05-07,dabcdead-ed75-590c-9e6e-50d59acf5950,-1,전주,running,1e944e50-9303-5e8d-a086-9be0a0382984,저축은행중앙회 사이버 위협 대응 내외부 통합 보안 인프라 구축 사업,2026-02-01,2026-12-31
2026-05-07,dabcdead-ed75-590c-9e6e-50d59acf5950,0,금주,running,1e944e50-9303-5e8d-a086-9be0a0382984,저축은행중앙회 사이버 위협 대응 내외부 통합 보안 인프라 구축 사업,2026-02-01,2026-12-31
2026-05-07,dabcdead-ed75-590c-9e6e-50d59acf5950,1,차주,running,1e944e50-9303-5e8d-a086-9be0a0382984,저축은행중앙회 사이버 위협 대응 내외부 통합 보안 인프라 구축 사업,2026-02-01,2026-12-31
2026-05-07,3a3087df-1d33-55a9-86e4-ea29c9abb95a,-1,전주,proposing,2c9064e6-2ac1-5ab4-bb18-d981b192fd17,프로젝트 051 통합 운영 사업,2026-03-15,2026-06-30
2026-05-07,3a3087df-1d33-55a9-86e4-ea29c9abb95a,0,금주,proposing,2c9064e6-2ac1-5ab4-bb18-d981b192fd17,프로젝트 051 통합 운영 사업,2026-03-15,2026-06-30
2026-05-07,3a3087df-1d33-55a9-86e4-ea29c9abb95a,1,차주,proposing,2c9064e6-2ac1-5ab4-bb18-d981b192fd17,프로젝트 051 통합 운영 사업,2026-03-15,2026-06-30
2026-05-07,bb2279a6-e81e-58f2-990d-590b77354f16,-1,전주,proposing,aaa18b43-da89-5fbe-acbb-0179a0df3c68,프로젝트 052 통합 운영 사업,2026-03-15,2026-06-30
2026-05-07,bb2279a6-e81e-58f2-990d-590b77354f16,0,금주,proposing,aaa18b43-da89-5fbe-acbb-0179a0df3c68,프로젝트 052 통합 운영 사업,2026-03-15,2026-06-30
2026-05-07,bb2279a6-e81e-58f2-990d-590b77354f16,1,차주,proposing,aaa18b43-da89-5fbe-acbb-0179a0df3c68,프로젝트 052 통합 운영 사업,2026-03-15,2026-06-30
2026-05-07,fb31cf1b-a9ea-583e-baee-c1c0e6e890fe,-1,전주,proposing,9c690f95-b08d-5738-afa6-d7078c9361c6,프로젝트 053 통합 운영 사업,2026-03-15,2026-06-30
2026-05-07,fb31cf1b-a9ea-583e-baee-c1c0e6e890fe,0,금주,proposing,9c690f95-b08d-5738-afa6-d7078c9361c6,프로젝트 053 통합 운영 사업,2026-03-15,2026-06-30
2026-05-07,fb31cf1b-a9ea-583e-baee-c1c0e6e890fe,1,차주,proposing,9c690f95-b08d-5738-afa6-d7078c9361c6,프로젝트 053 통합 운영 사업,2026-03-15,2026-06-30
2026-05-07,f420858e-95b8-5d0d-a540-55d85ade2833,-1,전주,proposing,82f0faef-bf72-565c-81b1-d9c60e1cb528,프로젝트 054 통합 운영 사업,2026-03-15,2026-06-30
2026-05-07,f420858e-95b8-5d0d-a540-55d85ade2833,0,금주,proposing,82f0faef-bf72-565c-81b1-d9c60e1cb528,프로젝트 054 통합 운영 사업,2026-03-15,2026-06-30
2026-05-07,f420858e-95b8-5d0d-a540-55d85ade2833,1,차주,proposing,82f0faef-bf72-565c-81b1-d9c60e1cb528,프로젝트 054 통합 운영 사업,2026-03-15,2026-06-30
2026-05-07,32e2ced1-4b3f-521b-a034-9f57ce60bff7,-1,전주,proposing,430911a1-6f80-56f5-84e5-e1df72094933,프로젝트 055 통합 운영 사업,2026-03-15,2026-06-30
2026-05-07,32e2ced1-4b3f-521b-a034-9f57ce60bff7,0,금주,proposing,430911a1-6f80-56f5-84e5-e1df72094933,프로젝트 055 통합 운영 사업,2026-03-15,2026-06-30
2026-05-07,32e2ced1-4b3f-521b-a034-9f57ce60bff7,1,차주,proposing,430911a1-6f80-56f5-84e5-e1df72094933,프로젝트 055 통합 운영 사업,2026-03-15,2026-06-30
2026-05-07,b796952d-8009-5fbe-8c7b-138d97e79db2,-1,전주,proposing,db8cfaaa-d9d9-53b5-bc17-d81fb3085d4e,프로젝트 056 통합 운영 사업,2026-03-15,2026-06-30
2026-05-07,b796952d-8009-5fbe-8c7b-138d97e79db2,0,금주,proposing,db8cfaaa-d9d9-53b5-bc17-d81fb3085d4e,프로젝트 056 통합 운영 사업,2026-03-15,2026-06-30
2026-05-07,b796952d-8009-5fbe-8c7b-138d97e79db2,1,차주,proposing,db8cfaaa-d9d9-53b5-bc17-d81fb3085d4e,프로젝트 056 통합 운영 사업,2026-03-15,2026-06-30
2026-05-07,c9333bbe-0e25-56fe-aac6-0513ec75e781,-1,전주,waiting,,,,
2026-05-07,c9333bbe-0e25-56fe-aac6-0513ec75e781,0,금주,waiting,,,,
2026-05-07,c9333bbe-0e25-56fe-aac6-0513ec75e781,1,차주,planned,609de055-55b5-54c7-99bd-be2dfe3c4a4d,프로젝트 057 통합 운영 사업,,
2026-05-07,1d1ac0af-c981-556f-9325-9280373107dc,-1,전주,waiting,,,,
2026-05-07,1d1ac0af-c981-556f-9325-9280373107dc,0,금주,waiting,,,,
2026-05-07,1d1ac0af-c981-556f-9325-9280373107dc,1,차주,planned,c9656e85-0621-56e1-a147-15388e4f41a3,프로젝트 058 통합 운영 사업,,
2026-05-07,4f9b8eaf-9973-521b-a1d1-5fc609c1d56c,-1,전주,waiting,,,,
2026-05-07,4f9b8eaf-9973-521b-a1d1-5fc609c1d56c,0,금주,waiting,,,,
2026-05-07,4f9b8eaf-9973-521b-a1d1-5fc609c1d56c,1,차주,planned,379f5fb5-0bd4-5e62-b952-05ec82a69fe2,프로젝트 059 통합 운영 사업,,
